GeneID	Symbol	Role
1490	CTGF	Tumor Suppressor Gene
149628	PYHIN1	Tumor Suppressor Gene
1500	CTNND1	Tumor Suppressor Gene
150094	SIK1	Tumor Suppressor Gene
151742	PPM1L	Tumor Suppressor Gene
1523	CUX1	Tumor Suppressor Gene
152573	SHISA3	Tumor Suppressor Gene
1528	CYB5A	Tumor Suppressor Gene
153090	DAB2IP	Tumor Suppressor Gene
1540	CYLD	Tumor Suppressor Gene
159989	CCDC67	Tumor Suppressor Gene
1601	DAB2	Tumor Suppressor Gene
1602	DACH1	Tumor Suppressor Gene
160492	LMNTD1	Tumor Suppressor Gene
160728	SLC5A8	Tumor Suppressor Gene
1612	DAPK1	Tumor Suppressor Gene
1613	DAPK3	Tumor Suppressor Gene
1620	BRINP1	Tumor Suppressor Gene
1630	DCC	Tumor Suppressor Gene
1634	DCN	Tumor Suppressor Gene
1643	DDB2	Tumor Suppressor Gene
164656	TMPRSS6	Tumor Suppressor Gene
1647	GADD45A	Tumor Suppressor Gene
1654	DDX3X	Tumor Suppressor Gene
1672	DEFB1	Tumor Suppressor Gene
167465	ZNF366	Tumor Suppressor Gene
1676	DFFA	Tumor Suppressor Gene
170692	ADAMTS18	Tumor Suppressor Gene
171023	ASXL1	Tumor Suppressor Gene
171024	SYNPO2	Tumor Suppressor Gene
1739	DLG1	Tumor Suppressor Gene
1755	DMBT1	Tumor Suppressor Gene
1756	DMD	Tumor Suppressor Gene
1786	DNMT1	Tumor Suppressor Gene
1788	DNMT3A	Tumor Suppressor Gene
1789	DNMT3B	Tumor Suppressor Gene
1796	DOK1	Tumor Suppressor Gene
1801	DPH1	Tumor Suppressor Gene
1803	DPP4	Tumor Suppressor Gene
1825	DSC3	Tumor Suppressor Gene
1832	DSP	Tumor Suppressor Gene
1843	DUSP1	Tumor Suppressor Gene
1847	DUSP5	Tumor Suppressor Gene
1848	DUSP6	Tumor Suppressor Gene
185	AGTR1	Tumor Suppressor Gene
1852	DUSP9	Tumor Suppressor Gene
1869	E2F1	Tumor Suppressor Gene
1870	E2F2	Tumor Suppressor Gene
1871	E2F3	Tumor Suppressor Gene
1894	ECT2	Tumor Suppressor Gene
1910	EDNRB	Tumor Suppressor Gene
1915	EEF1A1	Tumor Suppressor Gene
1958	EGR1	Tumor Suppressor Gene
1959	EGR2	Tumor Suppressor Gene
196	AHR	Tumor Suppressor Gene
196528	ARID2	Tumor Suppressor Gene
1969	EPHA2	Tumor Suppressor Gene
199	AIF1	Tumor Suppressor Gene
199731	CADM4	Tumor Suppressor Gene
200504	GKN2	Tumor Suppressor Gene
201163	FLCN	Tumor Suppressor Gene
2012	EMP1	Tumor Suppressor Gene
2013	EMP2	Tumor Suppressor Gene
201501	ZBTB7C	Tumor Suppressor Gene
2034	EPAS1	Tumor Suppressor Gene
2035	EPB41	Tumor Suppressor Gene
2041	EPHA1	Tumor Suppressor Gene
2042	EPHA3	Tumor Suppressor Gene
2048	EPHB2	Tumor Suppressor Gene
2049	EPHB3	Tumor Suppressor Gene
2050	EPHB4	Tumor Suppressor Gene
2051	EPHB6	Tumor Suppressor Gene
2066	ERBB4	Tumor Suppressor Gene
2070	EYA4	Tumor Suppressor Gene
2077	ERF	Tumor Suppressor Gene
2099	ESR1	Tumor Suppressor Gene
2100	ESR2	Tumor Suppressor Gene
2103	ESRRB	Tumor Suppressor Gene
2114	ETS2	Tumor Suppressor Gene
2120	ETV6	Tumor Suppressor Gene
2131	EXT1	Tumor Suppressor Gene
2132	EXT2	Tumor Suppressor Gene
2134	EXTL1	Tumor Suppressor Gene
2135	EXTL2	Tumor Suppressor Gene
2137	EXTL3	Tumor Suppressor Gene
2145	EZH1	Tumor Suppressor Gene
2146	EZH2	Tumor Suppressor Gene
2170	FABP3	Tumor Suppressor Gene
2189	FANCG	Tumor Suppressor Gene
2192	FBLN1	Tumor Suppressor Gene
219285	SAMD9L	Tumor Suppressor Gene
219333	USP12	Tumor Suppressor Gene
2195	FAT1	Tumor Suppressor Gene
219699	UNC5B	Tumor Suppressor Gene
220296	HEPACAM	Tumor Suppressor Gene
2203	FBP1	Tumor Suppressor Gene
222235	FBXL13	Tumor Suppressor Gene
2262	GPC5	Tumor Suppressor Gene
2271	FH	Tumor Suppressor Gene
2272	FHIT	Tumor Suppressor Gene
2273	FHL1	Tumor Suppressor Gene
22806	IKZF3	Tumor Suppressor Gene
22807	IKZF2	Tumor Suppressor Gene
22882	ZHX2	Tumor Suppressor Gene
22925	PLA2R1	Tumor Suppressor Gene
22933	SIRT2	Tumor Suppressor Gene
22943	DKK1	Tumor Suppressor Gene
22954	TRIM32	Tumor Suppressor Gene
2296	FOXC1	Tumor Suppressor Gene
23032	USP33	Tumor Suppressor Gene
23035	PHLPP2	Tumor Suppressor Gene
23036	ZNF292	Tumor Suppressor Gene
23047	PDS5B	Tumor Suppressor Gene
2308	FOXO1	Tumor Suppressor Gene
23087	TRIM35	Tumor Suppressor Gene
2309	FOXO3	Tumor Suppressor Gene
23095	KIF1B	Tumor Suppressor Gene
231	AKR1B1	Tumor Suppressor Gene
23136	EPB41L3	Tumor Suppressor Gene
23152	CIC	Tumor Suppressor Gene
23189	KANK1	Tumor Suppressor Gene
2322	FLT3	Tumor Suppressor Gene
23221	RHOBTB2	Tumor Suppressor Gene
23239	PHLPP1	Tumor Suppressor Gene
23261	CAMTA1	Tumor Suppressor Gene
23300	ATMIN	Tumor Suppressor Gene
23327	NEDD4L	Tumor Suppressor Gene
23328	SASH1	Tumor Suppressor Gene
23336	SYNM	Tumor Suppressor Gene
23347	SMCHD1	Tumor Suppressor Gene
23365	ARHGEF12	Tumor Suppressor Gene
23376	UFL1	Tumor Suppressor Gene
23405	DICER1	Tumor Suppressor Gene
23409	SIRT4	Tumor Suppressor Gene
23410	SIRT3	Tumor Suppressor Gene
23411	SIRT1	Tumor Suppressor Gene
23468	CBX5	Tumor Suppressor Gene
23512	SUZ12	Tumor Suppressor Gene
23513	SCRIB	Tumor Suppressor Gene
23541	SEC14L2	Tumor Suppressor Gene
23560	GTPBP4	Tumor Suppressor Gene
23582	CCNDBP1	Tumor Suppressor Gene
23586	DDX58	Tumor Suppressor Gene
23604	DAPK2	Tumor Suppressor Gene
23612	PHLDA3	Tumor Suppressor Gene
23635	SSBP2	Tumor Suppressor Gene
23671	TMEFF2	Tumor Suppressor Gene
23705	CADM1	Tumor Suppressor Gene
2395	FXN	Tumor Suppressor Gene
2444	FRK	Tumor Suppressor Gene
246	ALOX15	Tumor Suppressor Gene
247	ALOX15B	Tumor Suppressor Gene
249	ALPL	Tumor Suppressor Gene
2521	FUS	Tumor Suppressor Gene
253559	CADM2	Tumor Suppressor Gene
253738	EBF3	Tumor Suppressor Gene
254394	MCM9	Tumor Suppressor Gene
255877	BCL6B	Tumor Suppressor Gene
257218	SHPRH	Tumor Suppressor Gene
25792	CIZ1	Tumor Suppressor Gene
25833	POU2F3	Tumor Suppressor Gene
25855	BRMS1	Tumor Suppressor Gene
2587	GALR1	Tumor Suppressor Gene
25898	RCHY1	Tumor Suppressor Gene
259230	SGMS1	Tumor Suppressor Gene
25930	PTPN23	Tumor Suppressor Gene
26018	LRIG1	Tumor Suppressor Gene
26038	CHD5	Tumor Suppressor Gene
26136	TES	Tumor Suppressor Gene
2619	GAS1	Tumor Suppressor Gene
26257	NKX2-8	Tumor Suppressor Gene
2626	GATA4	Tumor Suppressor Gene
26260	FBXO25	Tumor Suppressor Gene
26298	EHF	Tumor Suppressor Gene
2633	GBP1	Tumor Suppressor Gene
26468	LHX6	Tumor Suppressor Gene
26471	NUPR1	Tumor Suppressor Gene
26512	INTS6	Tumor Suppressor Gene
26524	LATS2	Tumor Suppressor Gene
26585	GREM1	Tumor Suppressor Gene
26608	TBL2	Tumor Suppressor Gene
268	AMH	Tumor Suppressor Gene
26959	HBP1	Tumor Suppressor Gene
2697	GJA1	Tumor Suppressor Gene
27022	FOXD3	Tumor Suppressor Gene
27030	MLH3	Tumor Suppressor Gene
2706	GJB2	Tumor Suppressor Gene
27075	TSPAN13	Tumor Suppressor Gene
27086	FOXP1	Tumor Suppressor Gene
27113	BBC3	Tumor Suppressor Gene
27122	DKK3	Tumor Suppressor Gene
27129	HSPB7	Tumor Suppressor Gene
27132	CPNE7	Tumor Suppressor Gene
27165	GLS2	Tumor Suppressor Gene
27173	SLC39A1	Tumor Suppressor Gene
2719	GPC3	Tumor Suppressor Gene
27232	GNMT	Tumor Suppressor Gene
27250	PDCD4	Tumor Suppressor Gene
27253	PCDH17	Tumor Suppressor Gene
27303	RBMS3	Tumor Suppressor Gene
27316	RBMX	Tumor Suppressor Gene
27330	RPS6KA6	Tumor Suppressor Gene
2735	GLI1	Tumor Suppressor Gene
274	BIN1	Tumor Suppressor Gene
27429	HTRA2	Tumor Suppressor Gene
2810	SFN	Tumor Suppressor Gene
283120	H19	Tumor Suppressor Gene
283349	RASSF3	Tumor Suppressor Gene
283518	KCNRG	Tumor Suppressor Gene
284406	ZFP82	Tumor Suppressor Gene
285671	RNF180	Tumor Suppressor Gene
286319	TUSC1	Tumor Suppressor Gene
286826	LIN9	Tumor Suppressor Gene
2878	GPX3	Tumor Suppressor Gene
28996	HIPK2	Tumor Suppressor Gene
2903	GRIN2A	Tumor Suppressor Gene
29072	SETD2	Tumor Suppressor Gene
29108	PYCARD	Tumor Suppressor Gene
29117	BRD7	Tumor Suppressor Gene
2932	GSK3B	Tumor Suppressor Gene
2934	GSN	Tumor Suppressor Gene
2950	GSTP1	Tumor Suppressor Gene
2952	GSTT1	Tumor Suppressor Gene
2972	BRF1	Tumor Suppressor Gene
29760	BLNK	Tumor Suppressor Gene
2984	GUCY2C	Tumor Suppressor Gene
29914	UBIAD1	Tumor Suppressor Gene
29948	OSGIN1	Tumor Suppressor Gene
29959	NRBP1	Tumor Suppressor Gene
29997	GLTSCR2	Tumor Suppressor Gene
29998	GLTSCR1	Tumor Suppressor Gene
301	ANXA1	Tumor Suppressor Gene
3014	H2AFX	Tumor Suppressor Gene
3065	HDAC1	Tumor Suppressor Gene
30845	EHD3	Tumor Suppressor Gene
3090	HIC1	Tumor Suppressor Gene
3091	HIF1A	Tumor Suppressor Gene
3094	HINT1	Tumor Suppressor Gene
3096	HIVEP1	Tumor Suppressor Gene
310	ANXA7	Tumor Suppressor Gene
3104	ZBTB48	Tumor Suppressor Gene
3164	NR4A1	Tumor Suppressor Gene
3169	FOXA1	Tumor Suppressor Gene
317	APAF1	Tumor Suppressor Gene
3170	FOXA2	Tumor Suppressor Gene
3172	HNF4A	Tumor Suppressor Gene
3175	ONECUT1	Tumor Suppressor Gene
324	APC	Tumor Suppressor Gene
3248	HPGD	Tumor Suppressor Gene
3273	HRG	Tumor Suppressor Gene
3329	HSPD1	Tumor Suppressor Gene
338442	HCAR2	Tumor Suppressor Gene
3394	IRF8	Tumor Suppressor Gene
339967	TMPRSS11A	Tumor Suppressor Gene
3400	ID4	Tumor Suppressor Gene
3417	IDH1	Tumor Suppressor Gene
3428	IFI16	Tumor Suppressor Gene
347252	IGFBPL1	Tumor Suppressor Gene
3479	IGF1	Tumor Suppressor Gene
3482	IGF2R	Tumor Suppressor Gene
3483	IGFALS	Tumor Suppressor Gene
3486	IGFBP3	Tumor Suppressor Gene
3487	IGFBP4	Tumor Suppressor Gene
3488	IGFBP5	Tumor Suppressor Gene
3490	IGFBP7	Tumor Suppressor Gene
355	FAS	Tumor Suppressor Gene
3579	CXCR2	Tumor Suppressor Gene
3611	ILK	Tumor Suppressor Gene
3621	ING1	Tumor Suppressor Gene
3622	ING2	Tumor Suppressor Gene
3627	CXCL10	Tumor Suppressor Gene
3651	PDX1	Tumor Suppressor Gene
3659	IRF1	Tumor Suppressor Gene
3661	IRF3	Tumor Suppressor Gene
3662	IRF4	Tumor Suppressor Gene
3663	IRF5	Tumor Suppressor Gene
3678	ITGA5	Tumor Suppressor Gene
3679	ITGA7	Tumor Suppressor Gene
3685	ITGAV	Tumor Suppressor Gene
3688	ITGB1	Tumor Suppressor Gene
3690	ITGB3	Tumor Suppressor Gene
3728	JUP	Tumor Suppressor Gene
3732	CD82	Tumor Suppressor Gene
373863	DND1	Tumor Suppressor Gene
374654	KIF7	Tumor Suppressor Gene
375	ARF1	Tumor Suppressor Gene
378708	APITD1	Tumor Suppressor Gene
3814	KISS1	Tumor Suppressor Gene
383	ARG1	Tumor Suppressor Gene
387	RHOA	Tumor Suppressor Gene
387496	RASL11A	Tumor Suppressor Gene
388	RHOB	Tumor Suppressor Gene
3880	KRT19	Tumor Suppressor Gene
390	RND3	Tumor Suppressor Gene
3963	LGALS7	Tumor Suppressor Gene
3977	LIFR	Tumor Suppressor Gene
3996	LLGL1	Tumor Suppressor Gene
400410	ST20	Tumor Suppressor Gene
401	PHOX2A	Tumor Suppressor Gene
4013	VWA5A	Tumor Suppressor Gene
4015	LOX	Tumor Suppressor Gene
4033	LRMP	Tumor Suppressor Gene
4045	LSAMP	Tumor Suppressor Gene
4057	LTF	Tumor Suppressor Gene
406	ARNTL	Tumor Suppressor Gene
4082	MARCKS	Tumor Suppressor Gene
4087	SMAD2	Tumor Suppressor Gene
4089	SMAD4	Tumor Suppressor Gene
4118	MAL	Tumor Suppressor Gene
4144	MAT2A	Tumor Suppressor Gene
4149	MAX	Tumor Suppressor Gene
4163	MCC	Tumor Suppressor Gene
4216	MAP3K4	Tumor Suppressor Gene
4221	MEN1	Tumor Suppressor Gene
429	ASCL1	Tumor Suppressor Gene
4292	MLH1	Tumor Suppressor Gene
43	ACHE	Tumor Suppressor Gene
4303	FOXO4	Tumor Suppressor Gene
4311	MME	Tumor Suppressor Gene
4335	MNT	Tumor Suppressor Gene
4436	MSH2	Tumor Suppressor Gene
445	ASS1	Tumor Suppressor Gene
4477	MSMB	Tumor Suppressor Gene
4485	MST1	Tumor Suppressor Gene
4486	MST1R	Tumor Suppressor Gene
4494	MT1F	Tumor Suppressor Gene
4495	MT1G	Tumor Suppressor Gene
4499	MT1M	Tumor Suppressor Gene
4502	MT2A	Tumor Suppressor Gene
4507	MTAP	Tumor Suppressor Gene
4601	MXI1	Tumor Suppressor Gene
4616	GADD45B	Tumor Suppressor Gene
4627	MYH9	Tumor Suppressor Gene
463	ZFHX3	Tumor Suppressor Gene
4640	MYO1A	Tumor Suppressor Gene
467	ATF3	Tumor Suppressor Gene
4683	NBN	Tumor Suppressor Gene
4692	NDN	Tumor Suppressor Gene
472	ATM	Tumor Suppressor Gene
4734	NEDD4	Tumor Suppressor Gene
4763	NF1	Tumor Suppressor Gene
4771	NF2	Tumor Suppressor Gene
4773	NFATC2	Tumor Suppressor Gene
4790	NFKB1	Tumor Suppressor Gene
4804	NGFR	Tumor Suppressor Gene
4814	NINJ1	Tumor Suppressor Gene
4824	NKX3-1	Tumor Suppressor Gene
4830	NME1	Tumor Suppressor Gene
4849	CNOT3	Tumor Suppressor Gene
4851	NOTCH1	Tumor Suppressor Gene
4853	NOTCH2	Tumor Suppressor Gene
4854	NOTCH3	Tumor Suppressor Gene
4856	NOV	Tumor Suppressor Gene
4862	NPAS2	Tumor Suppressor Gene
4869	NPM1	Tumor Suppressor Gene
4897	NRCAM	Tumor Suppressor Gene
4899	NRF1	Tumor Suppressor Gene
4916	NTRK3	Tumor Suppressor Gene
4920	ROR2	Tumor Suppressor Gene
4921	DDR2	Tumor Suppressor Gene
4928	NUP98	Tumor Suppressor Gene
4978	OPCML	Tumor Suppressor Gene
49860	CRNN	Tumor Suppressor Gene
5037	PEBP1	Tumor Suppressor Gene
5047	PAEP	Tumor Suppressor Gene
5048	PAFAH1B1	Tumor Suppressor Gene
50486	G0S2	Tumor Suppressor Gene
5071	PARK2	Tumor Suppressor Gene
5074	PAWR	Tumor Suppressor Gene
5079	PAX5	Tumor Suppressor Gene
5080	PAX6	Tumor Suppressor Gene
50943	FOXP3	Tumor Suppressor Gene
5098	PCDHGC3	Tumor Suppressor Gene
5100	PCDH8	Tumor Suppressor Gene
5101	PCDH9	Tumor Suppressor Gene
51100	SH3GLB1	Tumor Suppressor Gene
51147	ING4	Tumor Suppressor Gene
51177	PLEKHO1	Tumor Suppressor Gene
51196	PLCE1	Tumor Suppressor Gene
51201	ZDHHC2	Tumor Suppressor Gene
51237	MZB1	Tumor Suppressor Gene
51247	PAIP2	Tumor Suppressor Gene
51330	TNFRSF12A	Tumor Suppressor Gene
51339	DACT1	Tumor Suppressor Gene
51343	FZR1	Tumor Suppressor Gene
51364	ZMYND10	Tumor Suppressor Gene
51406	NOL7	Tumor Suppressor Gene
51473	DCDC2	Tumor Suppressor Gene
51474	LIMA1	Tumor Suppressor Gene
51523	CXXC5	Tumor Suppressor Gene
51548	SIRT6	Tumor Suppressor Gene
5157	PDGFRL	Tumor Suppressor Gene
51684	SUFU	Tumor Suppressor Gene
51696	HECA	Tumor Suppressor Gene
51700	CYB5R2	Tumor Suppressor Gene
51720	UIMC1	Tumor Suppressor Gene
51741	WWOX	Tumor Suppressor Gene
5178	PEG3	Tumor Suppressor Gene
51780	KDM3B	Tumor Suppressor Gene
5196	PF4	Tumor Suppressor Gene
5216	PFN1	Tumor Suppressor Gene
5241	PGR	Tumor Suppressor Gene
5245	PHB	Tumor Suppressor Gene
5268	SERPINB5	Tumor Suppressor Gene
5276	SERPINI2	Tumor Suppressor Gene
5300	PIN1	Tumor Suppressor Gene
5310	PKD1	Tumor Suppressor Gene
5316	PKNOX1	Tumor Suppressor Gene
5320	PLA2G2A	Tumor Suppressor Gene
5325	PLAGL1	Tumor Suppressor Gene
5331	PLCB3	Tumor Suppressor Gene
5333	PLCD1	Tumor Suppressor Gene
53353	LRP1B	Tumor Suppressor Gene
5337	PLD1	Tumor Suppressor Gene
5347	PLK1	Tumor Suppressor Gene
5371	PML	Tumor Suppressor Gene
5411	PNN	Tumor Suppressor Gene
5414	Sep-04	Tumor Suppressor Gene
54206	ERRFI1	Tumor Suppressor Gene
545	ATR	Tumor Suppressor Gene
54556	ING3	Tumor Suppressor Gene
54583	EGLN1	Tumor Suppressor Gene
5465	PPARA	Tumor Suppressor Gene
5468	PPARG	Tumor Suppressor Gene
54739	XAF1	Tumor Suppressor Gene
54756	IL17RD	Tumor Suppressor Gene
54766	BTG4	Tumor Suppressor Gene
54778	RNF111	Tumor Suppressor Gene
54790	TET2	Tumor Suppressor Gene
54802	TRIT1	Tumor Suppressor Gene
54845	ESRP1	Tumor Suppressor Gene
54904	WHSC1L1	Tumor Suppressor Gene
5494	PPM1A	Tumor Suppressor Gene
54971	BANP	Tumor Suppressor Gene
54979	HRASLS2	Tumor Suppressor Gene
54984	PINX1	Tumor Suppressor Gene
5499	PPP1CA	Tumor Suppressor Gene
55124	PIWIL2	Tumor Suppressor Gene
5515	PPP2CA	Tumor Suppressor Gene
5516	PPP2CB	Tumor Suppressor Gene
55164	SHQ1	Tumor Suppressor Gene
5519	PPP2R1B	Tumor Suppressor Gene
55193	PBRM1	Tumor Suppressor Gene
5522	PPP2R2C	Tumor Suppressor Gene
55223	TRIM62	Tumor Suppressor Gene
55233	MOB1A	Tumor Suppressor Gene
5524	PPP2R4	Tumor Suppressor Gene
55259	CASC1	Tumor Suppressor Gene
5527	PPP2R5C	Tumor Suppressor Gene
55275	VPS53	Tumor Suppressor Gene
55294	FBXW7	Tumor Suppressor Gene
5533	PPP3CC	Tumor Suppressor Gene
55384	MEG3	Tumor Suppressor Gene
55450	CAMK2N1	Tumor Suppressor Gene
55544	RBM38	Tumor Suppressor Gene
55591	VEZT	Tumor Suppressor Gene
55615	PRR5	Tumor Suppressor Gene
5562	PRKAA1	Tumor Suppressor Gene
5563	PRKAA2	Tumor Suppressor Gene
55630	SLC39A4	Tumor Suppressor Gene
55654	TMEM127	Tumor Suppressor Gene
55717	WDR11	Tumor Suppressor Gene
5573	PRKAR1A	Tumor Suppressor Gene
55743	CHFR	Tumor Suppressor Gene
55748	CNDP2	Tumor Suppressor Gene
55749	CCAR1	Tumor Suppressor Gene
5579	PRKCB	Tumor Suppressor Gene
5580	PRKCD	Tumor Suppressor Gene
5581	PRKCE	Tumor Suppressor Gene
55818	KDM3A	Tumor Suppressor Gene
55840	EAF2	Tumor Suppressor Gene
55901	THSD1	Tumor Suppressor Gene
55966	AJAP1	Tumor Suppressor Gene
5601	MAPK9	Tumor Suppressor Gene
5602	MAPK10	Tumor Suppressor Gene
5625	PRODH	Tumor Suppressor Gene
5629	PROX1	Tumor Suppressor Gene
563	AZGP1	Tumor Suppressor Gene
56475	RPRM	Tumor Suppressor Gene
5653	KLK6	Tumor Suppressor Gene
5654	HTRA1	Tumor Suppressor Gene
5655	KLK10	Tumor Suppressor Gene
56616	DIABLO	Tumor Suppressor Gene
56666	PANX2	Tumor Suppressor Gene
56849	TCEAL7	Tumor Suppressor Gene
56925	LXN	Tumor Suppressor Gene
56940	DUSP22	Tumor Suppressor Gene
56954	NIT2	Tumor Suppressor Gene
56981	PRDM11	Tumor Suppressor Gene
56998	CTNNBIP1	Tumor Suppressor Gene
56999	ADAMTS9	Tumor Suppressor Gene
57107	PDSS2	Tumor Suppressor Gene
57111	RAB25	Tumor Suppressor Gene
57142	RTN4	Tumor Suppressor Gene
57167	SALL4	Tumor Suppressor Gene
5727	PTCH1	Tumor Suppressor Gene
5728	PTEN	Tumor Suppressor Gene
5729	PTGDR	Tumor Suppressor Gene
57410	SCYL1	Tumor Suppressor Gene
57447	NDRG2	Tumor Suppressor Gene
57491	AHRR	Tumor Suppressor Gene
57509	MTUS1	Tumor Suppressor Gene
57510	XPO5	Tumor Suppressor Gene
57531	HACE1	Tumor Suppressor Gene
57575	PCDH10	Tumor Suppressor Gene
57586	SYT13	Tumor Suppressor Gene
57599	WDR48	Tumor Suppressor Gene
57659	ZBTB4	Tumor Suppressor Gene
5770	PTPN1	Tumor Suppressor Gene
5771	PTPN2	Tumor Suppressor Gene
57727	NCOA5	Tumor Suppressor Gene
